PLOT_ID,raw_NDVI,Image_Quality,DayOfYear,Year,filtered_NDVI,Growing_Season
154,0.2916,1,14,2002,0.2916,N
154,-0.0197,2,26,2002,NA,N
154,0.0609,2,38,2002,NA,N
154,0.036,2,56,2002,NA,N
154,0.028,2,66,2002,NA,Y
154,0.0571,3,92,2002,NA,Y
154,0.2323,3,109,2002,NA,Y
154,0.2647,1,118,2002,0.2647,Y
154,0.25630000000000003,1,132,2002,0.25630000000000003,Y
154,0.34740000000000004,0,150,2002,0.34740000000000004,Y
154,0.5159,0,173,2002,0.5159,Y
154,0.6087,0,187,2002,0.6087,Y
154,0.5615,0,196,2002,0.5615,Y
154,0.6445000000000001,0,224,2002,0.6445000000000001,Y
154,0.5112,0,230,2002,0.5112,Y
154,0.6028,0,253,2002,0.6028,Y
154,0.601,0,258,2002,0.601,Y
154,0.0018,2,285,2002,NA,Y
154,0.0863,2,303,2002,NA,N
154,0.3418,1,308,2002,0.3418,N
154,0.3302,0,335,2002,0.3302,N
154,0.2846,1,347,2002,0.2846,N
154,0.28340000000000004,1,8,2002,0.28340000000000004,N
156,0.27890000000000004,1,5,2002,0.27890000000000004,N
156,-0.0202,2,26,2002,NA,N
156,0.0486,2,38,2002,NA,N
156,0.0176,2,56,2002,NA,N
156,0.042,3,65,2002,NA,Y
156,0.016,3,91,2002,NA,Y
156,0.2762,3,110,2002,NA,Y
156,0.2234,1,118,2002,0.2234,Y
156,0.28450000000000003,1,132,2002,0.28450000000000003,Y
156,0.3472,0,150,2002,0.3472,Y
156,0.4993,0,173,2002,0.4993,Y
156,0.503,0,187,2002,0.503,Y
156,0.4468,0,196,2002,0.4468,Y
156,0.5111,0,217,2002,0.5111,Y
156,0.6314000000000001,0,230,2002,0.6314000000000001,Y
156,0.4539,0,253,2002,0.4539,Y
156,0.6077,0,258,2002,0.6077,Y
156,-0.0076,2,285,2002,NA,Y
156,0.3663,0,296,2002,0.3663,Y
156,0.34700000000000003,1,308,2002,0.34700000000000003,N
156,0.3974,0,335,2002,0.3974,N
156,0.2904,1,347,2002,0.2904,N
156,0.31320000000000003,1,8,2002,0.31320000000000003,N
160,0.2459,1,14,2002,0.2459,N
160,-0.0017,2,29,2002,NA,N
160,0.0398,2,43,2002,NA,N
160,0.012,2,56,2002,NA,N
160,0.0145,2,73,2002,NA,Y
160,0.0852,3,90,2002,NA,Y
160,0.0308,2,98,2002,NA,Y
160,0.2897,1,122,2002,0.2897,Y
160,-0.0303,2,129,2002,NA,Y
160,0.3471,0,150,2002,0.3471,Y
160,0.5265000000000001,0,173,2002,0.5265000000000001,Y
160,0.5851000000000001,0,187,2002,0.5851000000000001,Y
160,0.5445,0,196,2002,0.5445,Y
